 

stn;time;tre200s0
GRA;202305090000;10.8
GRA;202305090010;10.8
GRA;202305090020;10.4
GRA;202305090030;10.1
GRA;202305090040;10.2
GRA;202305090050;9.9
GRA;202305090100;9.6
GRA;202305090110;9.5
GRA;202305090120;9.6
GRA;202305090130;9.5
GRA;202305090140;9.7
GRA;202305090150;9.6
GRA;202305090200;9.1
GRA;202305090210;9.1
GRA;202305090220;9.0
GRA;202305090230;9.0
GRA;202305090240;9.1
GRA;202305090250;9.3
GRA;202305090300;9.3
GRA;202305090310;9.0
GRA;202305090320;8.8
GRA;202305090330;9.1
GRA;202305090340;9.2
GRA;202305090350;9.1
GRA;202305090400;9.0
GRA;202305090410;8.8
GRA;202305090420;9.0
GRA;202305090430;9.3
GRA;202305090440;8.9
GRA;202305090450;9.0
GRA;202305090500;9.2
GRA;202305090510;9.2
GRA;202305090520;9.4
GRA;202305090530;10.0
GRA;202305090540;10.5
GRA;202305090550;10.4
GRA;202305090600;10.9
GRA;202305090610;11.0
GRA;202305090620;11.7
GRA;202305090630;12.3
GRA;202305090640;12.2
GRA;202305090650;12.6
GRA;202305090700;12.5
GRA;202305090710;12.9
GRA;202305090720;13.5
GRA;202305090730;13.6
GRA;202305090740;13.8
GRA;202305090750;13.3
GRA;202305090800;13.8
GRA;202305090810;13.6
GRA;202305090820;14.4
GRA;202305090830;14.2
GRA;202305090840;14.6
GRA;202305090850;15.4
GRA;202305090900;15.5
GRA;202305090910;15.7
GRA;202305090920;16.3
GRA;202305090930;16.3
GRA;202305090940;16.2
GRA;202305090950;16.4
GRA;202305091000;16.1
GRA;202305091010;16.2
GRA;202305091020;16.2
GRA;202305091030;16.1
GRA;202305091040;16.2
GRA;202305091050;16.6
GRA;202305091100;16.4
GRA;202305091110;16.2
GRA;202305091120;16.5
GRA;202305091130;16.4
GRA;202305091140;16.4
GRA;202305091150;16.4
GRA;202305091200;16.6
GRA;202305091210;16.6
GRA;202305091220;16.5
GRA;202305091230;16.3
GRA;202305091240;16.3
GRA;202305091250;16.2
GRA;202305091300;16.4
GRA;202305091310;16.2
GRA;202305091320;16.1
GRA;202305091330;16.1
GRA;202305091340;15.8
GRA;202305091350;15.5
GRA;202305091400;15.4
GRA;202305091410;15.5
GRA;202305091420;15.3
GRA;202305091430;15.0
GRA;202305091440;14.8
GRA;202305091450;14.7
GRA;202305091500;14.4
GRA;202305091510;14.3
GRA;202305091520;14.3
GRA;202305091530;14.2
GRA;202305091540;14.1
