 

stn;time;tre200s0
MOE;202304010000;6.8
MOE;202304010010;6.7
MOE;202304010020;6.6
MOE;202304010030;6.7
MOE;202304010040;6.6
MOE;202304010050;6.4
MOE;202304010100;6.5
MOE;202304010110;6.5
MOE;202304010120;6.5
MOE;202304010130;6.5
MOE;202304010140;6.5
MOE;202304010150;6.6
MOE;202304010200;7.6
MOE;202304010210;8.1
MOE;202304010220;8.6
MOE;202304010230;8.7
MOE;202304010240;8.7
MOE;202304010250;8.8
MOE;202304010300;8.9
MOE;202304010310;8.8
MOE;202304010320;8.6
MOE;202304010330;8.0
MOE;202304010340;7.4
MOE;202304010350;7.1
MOE;202304010400;6.9
MOE;202304010410;6.6
MOE;202304010420;6.5
MOE;202304010430;7.0
MOE;202304010440;7.6
MOE;202304010450;8.0
MOE;202304010500;8.0
MOE;202304010510;7.9
MOE;202304010520;7.9
MOE;202304010530;8.0
MOE;202304010540;8.0
MOE;202304010550;8.1
MOE;202304010600;8.1
MOE;202304010610;8.2
MOE;202304010620;8.2
MOE;202304010630;8.2
MOE;202304010640;8.3
MOE;202304010650;8.1
MOE;202304010700;8.1
MOE;202304010710;8.1
MOE;202304010720;8.2
MOE;202304010730;8.3
MOE;202304010740;8.4
MOE;202304010750;8.6
MOE;202304010800;8.7
MOE;202304010810;8.8
MOE;202304010820;8.6
MOE;202304010830;8.7
MOE;202304010840;8.8
MOE;202304010850;8.9
MOE;202304010900;9.1
MOE;202304010910;9.1
MOE;202304010920;9.3
MOE;202304010930;9.5
MOE;202304010940;9.6
MOE;202304010950;9.7
MOE;202304011000;9.6
MOE;202304011010;9.4
MOE;202304011020;9.4
MOE;202304011030;9.6
MOE;202304011040;9.7
MOE;202304011050;9.9
MOE;202304011100;10.0
MOE;202304011110;9.7
MOE;202304011120;9.0
MOE;202304011130;9.0
MOE;202304011140;9.2
MOE;202304011150;9.5
MOE;202304011200;9.7
MOE;202304011210;10.2
MOE;202304011220;10.7
MOE;202304011230;10.9
MOE;202304011240;11.1
MOE;202304011250;11.0
MOE;202304011300;11.1
MOE;202304011310;11.2
MOE;202304011320;11.1
MOE;202304011330;10.6
MOE;202304011340;10.0
MOE;202304011350;10.1
MOE;202304011400;10.2
MOE;202304011410;9.9
MOE;202304011420;9.9
MOE;202304011430;10.3
MOE;202304011440;10.8
MOE;202304011450;11.3
MOE;202304011500;11.1
MOE;202304011510;11.0
MOE;202304011520;10.9
MOE;202304011530;11.4
MOE;202304011540;11.2
MOE;202304011550;11.0
MOE;202304011600;11.0
MOE;202304011610;10.6
MOE;202304011620;10.6
MOE;202304011630;10.9
MOE;202304011640;11.2
MOE;202304011650;10.8
MOE;202304011700;10.7
MOE;202304011710;10.1
MOE;202304011720;9.8
MOE;202304011730;9.6
MOE;202304011740;9.2
MOE;202304011750;8.7
MOE;202304011800;8.4
MOE;202304011810;8.7
MOE;202304011820;8.4
MOE;202304011830;8.6
MOE;202304011840;8.3
MOE;202304011850;8.3
MOE;202304011900;8.4
MOE;202304011910;8.7
MOE;202304011920;8.6
MOE;202304011930;8.4
MOE;202304011940;8.1
MOE;202304011950;7.4
MOE;202304012000;6.3
MOE;202304012010;6.0
MOE;202304012020;6.2
MOE;202304012030;5.8
MOE;202304012040;6.5
MOE;202304012050;6.3
MOE;202304012100;6.0
MOE;202304012110;5.9
MOE;202304012120;6.2
MOE;202304012130;6.1
MOE;202304012140;6.4
MOE;202304012150;6.8
MOE;202304012200;6.8
MOE;202304012210;6.6
MOE;202304012220;6.4
MOE;202304012230;6.2
MOE;202304012240;6.2
MOE;202304012250;6.4
MOE;202304012300;6.4
MOE;202304012310;6.3
MOE;202304012320;6.2
MOE;202304012330;6.1
MOE;202304012340;6.2
MOE;202304012350;6.2
MOE;202304020000;6.3
MOE;202304020010;6.3
MOE;202304020020;6.2
MOE;202304020030;6.2
MOE;202304020040;6.2
MOE;202304020050;6.2
MOE;202304020100;6.2
MOE;202304020110;6.2
MOE;202304020120;6.2
MOE;202304020130;6.1
MOE;202304020140;6.1
MOE;202304020150;6.2
MOE;202304020200;6.2
MOE;202304020210;6.2
MOE;202304020220;6.1
MOE;202304020230;6.1
MOE;202304020240;6.1
